stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
100,100,"Ithaca Commons - Seneca St",,42.440536,-76.496507,,,0,,0
103,103,"Tioga @ Court",,42.442574,-76.496894,,,0,,0
105,105,"Court @ Linn",,42.443115,-76.494506,,,0,,0
107,107,"Cayuga @ Buffalo",,42.441227,-76.499045,,,0,,0
108,108,"Cayuga @ Buffalo",,42.441402,-76.499176,,,0,,0
110,110,"Geneva @ State/MLK",,42.439582,-76.500801,,,0,,0
1111,1111,"University @ Cornell Ave",,42.447132,-76.493026,,,0,,0
1113,1113,"University @ Lake",,42.449551,-76.49208,,,0,,0
1119,1119,"Auden Ithaca",,42.450988,-76.493674,,,0,,0
112,112,"Albany at Salvation Army",,42.439878,-76.501805,,,0,,0
1120,1120,"Auden Ithaca",,42.451084,-76.493644,,,0,,0
1121,1121,"Lake @ Falls",,42.452842,-76.494621,,,0,,0
1122,1122,"Lake @ Lincoln",,42.45227,-76.494719,,,0,,0
1123,1123,"Falls @ Lake",,42.452838,-76.494843,,,0,,0
1124,1124,"Falls @ Lake",,42.452934,-76.494896,,,0,,0
1125,1125,"Lake St at Ithaca High School",,42.45518,-76.496001,,,0,,0
1126,1126,"Lake St at Ithaca High School",,42.455162,-76.496094,,,0,,0
1129,1129,"Lake St at Boynton Middle School",,42.46086,-76.497272,,,0,,0
113,113,"Seneca @ Albany",,42.440391,-76.501616,,,0,,0
1130,1130,"Lake St at Boynton Middle School",,42.460826,-76.497367,,,0,,0
1137,1137,"East Shore @ James L. Gibbs",,42.463847,-76.498863,,,0,,0
1138,1138,"East Shore @ James L. Gibbs",,42.464016,-76.499168,,,0,,0
1143,1143,"Stewart Park Entrance",,42.462711,-76.500808,,,0,,0
115,115,"State/MLK @ Albany",,42.4394,-76.501868,,,0,,0
127,127,"State/MLK @ Plain",,42.439345,-76.504134,,,0,,0
128,128,"State/MLK @ Plain",,42.439434,-76.503761,,,0,,0
1301,1301,"Thurston @ Stewart",,42.454577,-76.490483,,,0,,0
1307,1307,"Thurston @ Barton",,42.453731,-76.488187,,,0,,0
1309,1309,"Thurston @ Highland",,42.453612,-76.486393,,,0,,0
1310,1310,"Highland @ Thurston",,42.45384,-76.486523,,,0,,0
1311,1311,"Highland @ Thurston",,42.453925,-76.486465,,,0,,0
1314,1314,"Highland @ Wyckoff",,42.456318,-76.486114,,,0,,0
1315,1315,"Highland @ Wyckoff",,42.456394,-76.485985,,,0,,0
1316,1316,"Highland @ Lakeland",,42.458449,-76.486519,,,0,,0
1317,1317,"Highland @ Lakeland",,42.458408,-76.486381,,,0,,0
1323,1323,"Risley Hall - Front",,42.453455,-76.4816,,,0,,0
1325,1325,"Thurston at Balch Hall",,42.452956,-76.480995,,,0,,0
1326,1326,"Risley Hall - Shelter",,42.452244,-76.481293,,,0,,0
1327,1327,"Cradit Farm @ Thurston",,42.452473,-76.480713,,,0,,0
1328,1328,"Cradit Farm @ Balch",,42.452926,-76.479406,,,0,,0
1329,1329,"Helen Newman Hall",,42.45322,-76.477263,,,0,,0
133,133,"McGraw House",,42.437733,-76.500595,,,0,,0
1330,1330,"Appel Commons",,42.453313,-76.477315,,,0,,0
1331,1331,"McClintock Hall @ Cradit Farm NB",,42.453765,-76.473671,,,0,,0
1332,1332,"McClintock Hall @ Cradit Farm SB",,42.453762,-76.473797,,,0,,0
134,134,"McGraw House",,42.437732,-76.500709,,,0,,0
1342,1342,"Northcross @ Jessup",,42.456978,-76.478416,,,0,,0
1343,1343,"Robert Purcell Community Center",,42.456645,-76.477037,,,0,,0
1344,1344,"Robert Purcell Community Center",,42.456741,-76.477135,,,0,,0
1345,1345,"Jessup @ Pleasant Grove",,42.456734,-76.474564,,,0,,0
1346,1346,"Jessup @ Pleasant Grove",,42.456845,-76.474652,,,0,,0
1347,1347,"Pleasant Grove @ Jessup",,42.45674,-76.47403,,,0,,0
1348,1348,"Pleasant Grove @ Jessup",,42.456924,-76.474319,,,0,,0
1349,1349,"Hasbrouck Apts",,42.45634,-76.471642,,,0,,0
135,135,"Green @ Fayette",,42.438461,-76.502815,,,0,,0
1353,1353,"A Lot - Lower Stop",,42.458124,-76.476372,,,0,,0
1355,1355,"Jessup @ Triphammer",,42.456367,-76.48082,,,0,,0
1356,1356,"Jessup @ Triphammer",,42.456406,-76.48101,,,0,,0
1357,1357,"Triphammer @ Jessup",,42.456215,-76.481216,,,0,,0
1358,1358,"Triphammer @ Dearborn",,42.456375,-76.481368,,,0,,0
